id_detail,id_order,id_product,amount,unit_price
1,18738,408,10,4.79
2,22797,113,42,49.99
3,43973,61,18,5.79
4,14634,190,41,4.99
5,19973,200,6,6.49
6,2469,134,7,15.99
7,39353,697,28,4.89
8,43200,710,37,19.99
9,28071,770,11,4.99
10,12512,265,34,7.99
11,24975,674,14,15.99
12,30649,534,27,9.99
13,8023,489,15,4.49
14,10903,624,5,24.99
15,8010,139,20,49.99
16,1623,772,12,19.99
17,27515,756,38,29.99
18,37765,740,27,39.99
19,30943,204,35,4.99
20,41904,251,38,19.99
21,49259,112,1,6.99
22,10136,751,22,12.99
23,923,630,19,2.99
24,41381,779,40,2.99
25,27930,56,5,99.99
26,43102,113,24,2.49
27,11863,719,38,2.99
28,46219,337,5,3.99
29,5833,190,22,6.49
30,37063,648,22,1.99
31,12251,367,24,29.99
32,37367,760,22,4.89
33,21280,163,37,5.49
34,7858,455,33,3.29
35,46417,55,43,4.79
36,45983,56,32,6.49
37,12728,378,30,8.99
38,5536,380,49,7.99
39,41161,649,49,34.99
40,26548,218,22,49.99
41,30094,130,3,29.99
42,11601,594,5,29.99
43,36574,566,7,5.49
44,39271,617,19,79.99
45,11444,535,43,3.29
46,36806,556,19,59.99
47,3270,299,41,3.29
48,29860,799,8,3.99
49,29670,187,7,99.99
50,11196,220,13,2.99
51,1026,674,50,4.99
52,19085,151,8,39.99
53,27747,627,21,29.99
54,4348,327,48,5.49
55,34068,52,23,59.99
56,34000,771,6,4.29
57,46784,298,12,6.49
58,47837,217,15,129.99
59,34408,621,39,3.99
60,11828,358,39,12.99
61,19383,421,10,24.99
62,19883,586,27,19.99
63,48242,775,22,89
64,26121,66,49,3.49
65,15734,532,22,3.49
66,38693,371,33,29.99
67,49267,91,5,39.99
68,13431,343,32,2.49
69,24529,356,29,4.29
70,43555,144,40,59.99
71,29689,111,47,2.49
72,3047,391,41,2.99
73,20215,658,14,2.49
74,34894,697,33,1.89
75,19016,185,25,2.49
76,26334,400,3,18.99
77,41498,787,16,3.29
78,16959,781,25,5.49
79,5951,793,3,39.99
80,48742,252,13,19.99
81,26625,356,17,19.99
82,28215,584,35,29.99
83,30868,342,49,25.99
84,19965,207,21,24.99
85,29467,260,3,24.99
86,657,490,36,2.59
87,27965,423,5,5.99
88,7938,75,28,129.99
89,43645,352,20,3.49
90,25751,482,9,14.99
91,33843,697,7,39.99
92,49954,116,11,3.29
93,43420,482,7,99.99
94,22476,360,46,19.99
95,49212,131,21,1.29
96,1121,183,30,19.99
97,4615,789,10,4.29
98,16906,336,45,4.99
99,10158,239,15,79.99
100,40516,30,38,3.49
101,31015,632,5,3.49
102,22118,698,50,7.99
103,4777,341,20,3.29
104,33092,623,19,39.99
105,27817,189,11,6.99
106,19456,675,7,6.49
107,36713,102,15,39.99
108,16389,501,13,5.49
109,29068,434,31,129.99
110,7097,721,4,7.49
111,1504,78,3,3.49
112,41260,496,50,3.99
