id_detail,id_order,id_product,amount,unit_price
1,37114,401,1,4.59
2,10802,751,31,49.99
3,40679,572,23,79.99
4,16686,119,18,3.49
5,3450,52,5,2.29
6,26299,766,48,4.99
7,7596,472,18,1.49
8,7703,107,1,2.29
9,29979,69,38,49.99
10,27101,478,38,5.99
11,25609,317,36,4.99
12,18871,104,8,19.99
13,10118,625,43,2.99
14,34204,615,42,6.49
15,43203,704,45,4.49
16,20682,663,20,4.49
17,31021,365,44,3.99
18,46,33,13,4.29
19,27602,272,21,4.99
20,42734,759,50,5.99
21,20379,559,8,34.99
22,17726,722,24,22.99
23,46255,792,6,2.99
24,1235,206,5,59.99
25,25468,502,34,89.99
26,29479,235,43,4.49
27,14268,517,20,25.99
28,44065,521,24,14.99
29,23752,560,47,3.99
30,843,714,29,19.99
31,22330,73,47,8.99
32,25810,499,26,79.99
33,25685,653,9,3.99
34,6892,56,22,29.99
35,47720,781,45,2.99
36,6991,132,49,34.99
37,3425,82,31,18.99
38,13457,717,21,0.99
39,9998,543,46,8.99
40,9562,153,33,249.99
41,28025,564,2,29.99
42,49155,684,28,6.49
43,36321,304,40,9.99
44,28969,641,27,4.99
45,207,615,20,3.29
46,10228,109,27,2.89
47,17450,295,14,22.99
48,19558,513,41,49.99
49,7159,514,27,69.99
50,36461,394,6,19.99
51,24574,435,41,14.99
52,6326,252,23,18.99
53,37517,731,6,3.99
54,4190,321,39,1.99
55,4532,548,34,19.99
56,10948,492,18,54.99
57,3259,379,18,2.99
58,14594,242,32,34.99
59,32407,134,31,24.99
60,43110,603,30,4.99
61,3879,409,10,14.99
62,27279,447,15,2.99
63,22073,557,20,2.59
64,35045,186,44,3.29
65,36793,668,6,18.99
66,48097,724,12,2.99
67,376,83,32,49.99
68,26662,390,37,59.99
69,31293,255,9,2.99
70,49358,415,34,4.59
71,43268,483,10,89.99
72,49448,212,19,3.99
73,19788,481,18,9.99
74,42371,37,16,6.99
75,35217,685,12,4.99
76,16923,505,3,199.99
77,20712,601,30,3.49
78,6172,555,27,79.99
79,30795,360,18,9.99
80,41358,797,35,8.99
81,3084,720,44,34.99
82,12607,469,28,8.99
83,14366,727,16,59.99
84,7580,555,36,29.99
85,26988,749,22,6.49
86,39123,749,50,12.99
87,698,365,21,39.99
88,31281,387,24,89.99
89,3276,621,26,4.49
90,13747,215,7,49.99
91,35089,150,2,39.99
92,33359,746,18,4.99
93,12043,440,5,149.99
94,25070,327,50,8.99
95,44422,246,40,4.49
96,10021,239,25,149.99
97,41736,752,37,1.99
98,33785,778,5,22.99
99,35508,775,17,14.99
100,17829,160,45,79.99
101,36344,730,43,6.49
102,27543,224,14,2.79
103,16580,800,15,5.99
104,756,190,48,3.29
105,1418,84,6,24.99
106,34808,234,38,14.99
107,41012,63,47,79.99
108,27840,652,20,3.79
109,40236,416,2,39.99
110,40640,228,23,3.99
111,13448,545,6,2.89
112,39264,80,35,18.99
113,35725,454,50,39.99
114,7387,93,27,4.99
115,47144,510,1,3.49
116,39066,722,1,4.99
117,2520,54,37,1.99
118,28082,328,41,2.89
119,10904,585,37,149.99
120,20583,362,40,29.99
121,11478,438,45,3.49
122,4425,358,6,3.49
123,7242,616,37,4.19
124,7418,571,44,29.99
125,25046,124,29,2.79
126,49855,519,16,5.29
