id_detail,id_order,id_product,amount,unit_price
1,36758,359,27,49.99
2,47921,231,50,3.79
3,7449,630,16,3.99
4,48087,349,5,34.99
5,48783,360,19,12.99
6,22814,729,40,199
7,28346,587,39,79.99
8,19561,154,28,14.99
9,11390,730,27,19.99
10,33397,168,43,24.99
11,24674,389,30,99.99
12,48243,425,42,22.99
13,38460,126,47,2.99
14,26139,93,13,29.99
15,8522,616,3,9.99
16,4566,792,15,3.99
17,11573,743,29,7.49
18,25265,262,24,3.99
19,16068,65,45,3.29
20,29350,74,11,3.99
21,37067,11,32,34.99
22,4231,457,27,4.49
23,3569,190,24,29.99
24,28945,622,23,79.99
25,46337,178,20,3.49
26,7646,85,21,5.49
27,39524,376,6,2.79
28,19273,752,16,34.99
29,49151,660,8,2.89
30,4247,701,34,9.99
31,24199,534,18,39.99
32,17759,163,49,29.99
33,42462,297,50,1.99
34,21235,183,48,79.99
35,12582,134,7,44.99
36,36911,45,32,39.99
37,15180,524,14,22.99
38,40729,624,21,19.99
39,32201,363,25,22.99
40,24775,301,47,19.99
41,24344,111,19,2.49
42,16647,700,34,8.49
43,28392,430,6,19.99
44,21718,272,48,49.99
45,33692,628,18,59.99
46,23327,158,47,54.99
47,41059,54,6,3.29
48,34362,207,45,5.99
49,33142,339,12,6.89
50,23806,424,49,12.99
51,40068,441,49,29.99
52,46507,287,10,8.49
53,44953,546,10,2.29
54,25618,121,44,4.79
55,38731,376,50,1.99
56,38841,583,5,3.99
57,13209,161,29,79.99
58,25128,625,38,3.59
59,8953,724,45,2.99
60,43012,506,11,24.99
61,2425,52,6,199.99
62,30043,498,8,39.99
63,18386,242,40,6.99
64,44496,167,5,99.99
65,17045,461,46,3.29
66,38370,692,2,199.99
67,1018,643,4,2.99
68,45310,83,25,5.49
69,7376,19,29,49.99
70,13799,331,5,1.99
71,28386,719,21,34.99
72,31794,214,26,39.99
73,28743,525,27,6.99
74,14849,9,10,4.29
75,16250,472,25,10.99
76,29100,685,17,24.99
77,27757,18,15,3.79
78,18970,60,20,4.29
79,15030,372,4,4.19
80,42248,145,20,14.99
81,39671,648,24,19.99
82,11434,724,38,5.99
83,31529,772,48,39.99
84,34373,211,6,7.49
85,46506,291,12,1.29
86,19445,108,11,5.99
87,4985,329,37,2.19
88,25142,70,32,49.99
89,44184,517,26,15.99
90,48088,429,47,2.29
91,13578,57,9,19.99
92,21012,292,2,199.99
93,17743,102,26,5.99
94,1415,587,12,49.99
95,22891,543,5,29.99
96,20424,141,38,9.99
97,38359,593,38,34.99
98,47255,278,43,24.99
99,46947,423,35,5.99
100,41149,733,8,14.99
101,39975,543,6,10.99
102,19884,208,33,39.99
103,4648,520,8,49.99
104,49999,453,32,2.99
105,14410,17,12,2.99
106,12656,405,50,4.99
107,31462,394,16,5.99
108,45659,297,15,22.99
109,28050,448,13,2.09
110,38335,154,9,79.99
111,30264,74,23,15.99
112,28668,584,16,3.99
113,14228,234,36,4.49
114,33662,761,34,34.99
115,15420,284,39,12.99
116,14095,676,8,99.99
117,12496,311,2,3.49
118,37527,321,12,39.99
119,16727,484,19,24.99
120,24095,162,47,49.99
121,33718,667,17,1.69
122,6588,13,41,2.99
123,22928,768,5,8.99
124,2645,242,9,2.99
125,10159,383,33,3.69
126,11082,591,29,44.99
127,22785,466,36,24.99
128,42806,793,12,14.99
129,36278,92,42,3.99
130,14158,44,2,89.99
131,8020,637,43,4.99
132,48997,177,7,34.99
133,417,26,20,69.99
134,423,664,40,22.99
135,2773,154,37,15.99
136,26493,800,16,3.79
137,35154,74,27,14.99
138,30994,575,29,15.99
139,37851,776,17,5.49
140,34456,386,4,129.99
141,4236,591,5,59.99
142,4510,652,43,4.49
143,17412,456,42,59.99
144,46079,636,24,44.99
145,4793,797,45,6.49
146,21563,573,19,49.99
147,48400,500,44,2.49
148,24867,213,40,34.99
149,944,482,19,3.29
150,38459,423,47,4.29
151,30119,631,10,9.99
152,5743,331,50,18.99
153,13016,451,17,49.99
154,49505,785,31,2.49
155,30956,614,30,54.99
156,2374,664,50,249.99
157,30362,749,23,15.99
158,9846,36,6,199.99
159,447,38,32,7.49
160,14068,195,20,2.49
161,41834,75,14,8.99
162,42751,189,26,14.99
163,40240,737,34,2.49
164,7048,179,48,39.99
165,45869,86,29,3.29
166,14610,258,14,14.99
167,13329,719,50,99.99
168,16790,498,37,4.49
169,4141,481,38,18.99
170,45660,105,12,9.99
171,4389,594,26,79.99
172,30584,82,22,5.79
173,18739,452,29,3.99
174,13652,134,49,34.99
175,6597,187,27,49.99
176,44861,430,38,3.69
177,35621,469,11,11.99
178,38456,553,10,22.99
179,26188,591,15,39.99
180,17688,419,50,5.99
181,42424,267,39,5.99
182,2971,795,1,69.99
183,24745,164,44,34.99
184,25305,432,46,14.99
185,942,362,8,39.99
186,23993,344,23,3.29
187,44395,650,43,10.99
188,33302,256,4,12.99
189,9031,674,44,25
190,31318,556,25,2.49
191,25859,279,18,39.99
