id_order,id_client,order_date,total,state
1,1174,2016-01-15,9567.03,reserved
2,1378,2020-02-29,68060.16,returned
3,329,2010-03-11,36104.06,reserved
4,105,2017-03-16,83461.64,purchased
5,1280,2019-08-30,19749.08,purchased
6,562,2007-11-03,19225.79,reserved
7,1316,2002-07-28,0.0,delivered
8,48,2020-05-17,21492.86,purchased
9,395,2010-07-22,97129.94,returned
10,1217,2013-09-20,23332.21,reserved
11,1045,2021-08-13,19312.74,purchased
12,780,2021-04-29,16486.44,purchased
13,481,2024-10-10,77367.08,purchased
14,1443,2024-06-05,24857.620000000003,rejected
15,5,2024-12-28,11184.18,delivered
16,1252,2023-08-11,31646.04,purchased
17,83,2023-10-02,59476.10999999999,returned
18,1089,2024-04-25,40251.58,purchased
19,819,2022-05-12,60112.76,rejected
20,38,2020-05-23,33226.7,rejected
21,1389,2016-11-04,82943.69,returned
22,1276,2023-10-25,44551.57,rejected
23,1237,2024-07-23,49243.01,reserved
24,1020,2007-09-09,80437.22,reserved
25,1225,2018-06-29,58512.560000000005,purchased
26,575,2023-01-26,59507.59,rejected
27,1294,2014-10-13,21965.78,delivered
28,194,2002-06-06,65091.99,rejected
29,210,2018-07-09,40960.57,reserved
30,699,2007-03-18,7292.58,returned
31,456,2016-10-12,18210.17,rejected
32,958,2025-09-27,113944.69,purchased
33,737,2016-03-16,34955.28,delivered
34,1243,2025-02-02,46808.490000000005,reserved
35,766,2019-12-26,22807.66,rejected
36,506,2011-11-29,102221.29,delivered
37,1366,2014-08-05,718.49,purchased
38,1309,2017-12-21,0.0,purchased
39,1074,2011-04-15,104264.08,reserved
40,759,2006-03-18,159487.86,purchased
41,1095,2015-12-08,47018.14,purchased
42,84,2011-05-08,6054.389999999999,purchased
43,1192,2020-01-27,52695.0,delivered
44,1019,2011-11-12,79450.88,reserved
45,402,2012-06-27,29630.46,rejected
46,685,2008-06-16,56936.350000000006,purchased
47,991,2014-07-19,101121.77,delivered
48,747,2016-09-14,46508.4,rejected
49,1022,2015-07-10,16941.8,returned
50,472,2021-08-20,32721.73,rejected
51,1207,2014-08-20,40265.91,purchased
52,1045,2021-08-13,20392.34,returned
53,126,2023-11-21,41947.04,returned
54,102,2022-07-14,73595.58,rejected
55,503,2018-05-03,157332.77,reserved
56,754,2024-09-16,27263.69,delivered
57,1095,2015-10-05,33871.17,reserved
58,1389,2015-06-16,22056.0,purchased
59,97,2017-02-05,44090.56,delivered
60,1169,2007-06-13,82285.98,rejected
61,506,2012-01-03,77146.47,purchased
62,1355,2010-01-29,43437.6,reserved
63,494,2009-07-23,58695.82,purchased
64,813,2007-01-14,22462.96,returned
65,119,2016-03-22,117220.69,delivered
66,468,2016-04-25,9265.94,reserved
67,607,2018-09-30,83235.51999999999,purchased
68,1436,2013-07-06,46625.08,reserved
69,137,2016-04-28,5116.9800000000005,reserved
70,965,2021-11-28,63261.12,delivered
71,236,2014-05-24,81976.45,delivered
72,161,2023-02-11,36841.58,delivered
73,808,2019-08-27,70254.51000000001,returned
74,1379,2016-02-16,5052.64,purchased
75,995,2010-09-05,62127.98,reserved
76,686,2013-10-24,38549.54,rejected
77,320,2013-02-21,37786.42,purchased
78,1333,2016-02-07,146031.54,purchased
79,1364,2020-12-02,24919.18,rejected
80,1458,2018-12-15,46772.03,purchased
81,1058,2009-09-04,75819.28,delivered
82,1319,2015-05-09,4485.299999999999,returned
83,351,2001-11-23,32538.32,rejected
84,1060,2009-10-21,45506.63,reserved
85,1189,2024-11-20,77112.74,delivered
86,1464,2024-12-31,130120.36,reserved
87,409,2018-05-19,64733.56,rejected
88,338,2023-07-01,29500.41,returned
89,922,2024-04-25,49266.61,reserved
90,417,2024-02-19,66724.14,rejected
91,731,2013-04-21,68658.91,reserved
92,603,2012-07-05,11038.54,rejected
93,411,2012-07-16,21887.94,rejected
94,354,2024-02-14,8607.49,delivered
95,354,2011-06-16,58066.02,purchased
96,46,2023-07-31,1949.28,returned
97,749,2007-01-05,46037.36,returned
98,1078,2015-01-23,26376.38,purchased
99,810,2019-05-07,36330.39,returned
100,89,2020-08-30,5549.39,delivered
101,976,2003-02-23,77.06,returned
102,1433,2017-11-12,24617.44,delivered
103,352,2003-12-15,20195.04,purchased
104,209,2024-11-04,90775.24,rejected
105,694,2018-01-10,40722.86,delivered
106,1197,2010-06-28,52455.71,purchased
107,146,2014-07-04,68786.26000000001,returned
108,457,2009-08-14,65912.54,delivered
109,195,2013-10-25,22943.96,reserved
110,1440,2012-08-15,6260.929999999999,returned
111,1399,2022-01-09,2900.16,rejected
112,213,2023-01-20,92368.16,delivered
113,465,2018-02-09,27924.3,purchased
114,280,2021-12-19,76198.84,returned
115,68,2021-03-08,34904.439999999995,purchased
116,428,2020-12-06,50672.21,purchased
117,906,2016-04-02,49493.05,delivered
118,801,2022-09-28,4004.4,returned
119,689,2009-05-18,40890.9,returned
120,238,2022-07-01,28786.65,reserved
121,1245,2016-04-04,0.0,delivered
122,38,2020-05-23,8921.689999999999,purchased
123,978,2019-07-01,30254.32,delivered
124,776,2008-09-11,58852.21,purchased
125,1325,2013-08-02,95162.91,returned
126,1097,2011-01-06,59751.48,purchased
127,1430,2013-09-30,2675.61,purchased
128,1227,2020-11-16,63129.17,delivered
129,220,2019-02-08,34222.020000000004,delivered
130,478,2018-05-30,76099.16,reserved
131,1206,2011-01-15,72721.47,returned
132,259,2024-11-01,3684.38,returned
133,69,2020-09-21,66341.42,delivered
134,710,2021-04-19,97994.83,delivered
135,544,2008-07-12,88122.93,reserved
136,264,2001-08-06,41411.54,delivered
137,924,2023-11-09,57246.03,purchased
138,167,2016-10-30,41034.54,reserved
139,1311,2022-07-26,23302.22,rejected
140,556,2015-05-27,59368.16,reserved
141,14,2016-04-17,32520.26,purchased
142,688,2023-10-23,59735.84,purchased
143,1170,2012-09-18,63370.0,purchased
144,1210,2014-04-12,46758.1,delivered
145,87,2013-06-21,64926.74,reserved
146,539,2014-12-28,14011.65,returned
147,1245,2016-04-04,68720.7,rejected
148,1187,2014-11-19,595.15,reserved
149,943,2016-07-14,46835.12,purchased
150,373,2006-05-31,43441.5,delivered
151,866,2020-04-24,55480.77,delivered
152,1458,2014-03-12,60799.71,rejected
153,950,2019-08-12,39964.08,purchased
154,433,2015-03-17,47740.42,reserved
155,449,2022-12-18,2900.0,rejected
156,1314,2015-03-19,98469.01,returned
157,1106,2007-10-30,30305.71,reserved
158,1043,2020-05-12,60628.0,delivered
159,658,2019-10-25,4693.13,rejected
160,1210,2014-04-12,15185.6,purchased
161,895,2006-04-16,101306.74,returned
162,1058,2024-10-14,20221.050000000003,reserved
163,167,2007-01-17,4387.1,returned
164,1192,2015-08-16,70632.69,purchased
165,912,2022-11-30,39199.64,delivered
166,1353,2007-06-24,103574.52,returned
167,870,2017-05-08,43448.7,purchased
168,819,2020-06-22,79414.95999999999,reserved
169,513,2016-03-03,38044.9,rejected
170,872,2012-10-15,73943.91,returned
171,1260,2011-02-25,36428.630000000005,reserved
172,216,2006-09-24,110579.09,purchased
173,796,2024-06-13,59738.16,delivered
174,61,2024-10-27,79597.29999999999,reserved
175,11,2015-08-03,58013.5,purchased
176,1421,2000-12-05,79106.02,delivered
177,1142,2018-06-01,44271.41,reserved
178,1029,2018-02-26,62364.2,delivered
179,150,2025-01-05,19183.45,delivered
180,266,2022-08-20,60742.18,returned
181,571,2016-12-18,73561.69,delivered
182,24,2003-01-30,41212.19,purchased
183,1278,2014-10-04,50933.17,reserved
184,692,2016-10-17,2677.62,delivered
185,1037,2010-02-17,48813.64,delivered
186,1280,2016-03-31,88657.69,rejected
187,272,2002-01-13,87943.32,returned
188,194,2001-12-06,24892.11,reserved
189,734,2024-10-09,15005.84,returned
190,333,2018-08-22,83512.18999999999,returned
191,984,2016-02-26,62987.82000000001,returned
192,688,2019-11-28,32052.03,reserved
193,341,2008-12-08,41625.57,purchased
194,1129,2012-12-14,17931.78,delivered
195,1484,2021-07-12,72259.45999999999,reserved
196,908,2008-04-11,48797.08,rejected
197,527,2008-12-02,79699.15,rejected
198,738,2024-11-09,139995.53,rejected
199,866,2023-09-16,69327.19,purchased
200,373,2003-09-01,47373.87,delivered
201,1288,2021-10-19,46237.3,returned
202,729,2007-06-20,11703.78,rejected
203,47,2013-06-22,43916.24,reserved
204,102,2024-07-15,14071.85,delivered
205,495,2016-08-04,29832.87,rejected
206,1015,2017-07-02,105725.81,purchased
207,221,2019-05-25,11713.319999999998,delivered
208,160,2023-12-28,30268.14,returned
209,1399,2016-01-26,23091.08,purchased
210,54,2024-09-29,185220.68,reserved
211,37,2016-11-17,28487.82,rejected
212,1352,2013-06-21,108244.61,purchased
213,1038,2023-02-26,52865.5,delivered
214,111,2023-08-28,96569.34,delivered
215,185,2015-12-03,44661.0,returned
216,986,2016-10-24,68923.38,returned
217,1145,2021-07-20,18628.68,reserved
218,940,2012-01-16,10831.03,rejected
219,763,2004-07-02,76804.46,rejected
220,1107,2013-11-28,47171.32,rejected
221,1153,2015-10-01,2629.16,delivered
222,1011,2020-04-15,31321.42,delivered
223,1322,2019-04-30,46667.44,reserved
224,1275,2022-11-22,82924.72,rejected
225,1387,2023-06-19,35945.08,delivered
226,166,2020-01-15,77518.67,returned
227,736,2016-10-03,22114.18,reserved
228,120,2016-11-23,3435.7200000000003,returned
229,149,2020-06-21,7837.5,reserved
230,267,2024-03-20,47402.13,purchased
231,496,2012-09-15,46945.84,delivered
232,453,2022-07-30,48401.16,reserved
233,904,2022-06-16,40554.83,reserved
234,713,2013-03-29,54229.59,reserved
235,1322,2017-10-18,3460.9300000000003,rejected
236,1388,2020-11-17,35464.54,reserved
237,869,2025-07-22,20044.59,delivered
238,1483,2021-02-18,20680.04,returned
239,1300,2022-07-29,46021.25,purchased
240,1476,2025-10-08,95837.33,returned
241,102,2006-06-11,13246.53,rejected
242,397,2014-01-10,57906.8,reserved
243,1218,2008-05-24,113314.97,rejected
244,433,2019-05-14,26677.94,delivered
245,452,2012-09-19,31630.58,returned
246,342,2011-03-22,24235.34,rejected
247,124,2024-09-25,49497.05,returned
248,533,2022-04-13,89895.29000000001,returned
249,1031,2010-01-20,55362.44,rejected
250,1054,2022-11-08,69322.3,rejected
251,500,2016-07-24,71470.5,rejected
252,787,2019-12-20,27595.61,rejected
253,291,2022-12-01,37292.09,rejected
254,1113,2021-06-16,137608.84,reserved
255,1080,2024-11-25,24217.24,delivered
256,582,2019-04-24,40142.8,returned
257,1086,2021-12-17,12697.44,reserved
258,1284,2013-12-22,28994.9,purchased
259,845,2020-12-02,35621.56,purchased
260,336,2017-10-06,27482.24,purchased
261,411,2012-07-16,32272.56,purchased
262,238,2014-04-27,61529.36,purchased
263,252,2020-09-27,13344.72,reserved
264,376,2011-05-18,407.0,delivered
265,765,2007-02-27,16321.04,purchased
266,1397,2019-08-29,34831.8,rejected
267,178,2021-04-23,34510.58,purchased
268,696,2007-02-16,9251.240000000002,reserved
269,1278,2015-09-03,89379.42,reserved
270,791,2024-08-21,30880.44,reserved
271,358,2012-10-23,37032.61,reserved
272,912,2022-11-30,53033.350000000006,reserved
273,1484,2021-07-12,3851.44,reserved
274,642,2012-01-11,49380.61,reserved
275,1500,2010-07-14,85960.78,returned
276,913,2016-07-24,39592.26,returned
277,356,2023-03-01,74469.7,purchased
278,245,2021-07-05,27650.71,delivered
279,944,2024-06-06,0.0,reserved
280,255,2014-01-15,40007.600000000006,returned
281,1277,2021-04-27,49543.47,purchased
282,383,2014-08-14,50763.54,reserved
283,1149,2006-10-21,12524.7,delivered
284,1014,2015-01-03,70654.41,returned
285,1332,2024-03-21,37453.99,delivered
286,666,2024-07-22,36441.64,delivered
287,595,2018-11-08,22220.21,purchased
288,730,2006-02-20,89700.83,returned
289,494,2008-09-07,84157.29000000001,rejected
290,979,2024-01-01,83290.98,reserved
291,593,2021-06-15,20876.54,returned
292,1436,2010-03-22,64934.08,returned
293,685,2012-10-13,61241.01,returned
294,683,2003-09-17,27864.11,rejected
295,1109,2022-01-21,15739.919999999998,rejected
296,581,2024-02-15,29707.49,returned
297,1197,2024-03-19,75251.55,purchased
298,1107,2013-11-28,10160.67,reserved
299,1171,2022-03-02,69033.19,rejected
300,279,2023-08-04,37938.74,returned
301,1110,2015-04-05,34299.119999999995,purchased
302,15,2015-09-02,37568.47,delivered
303,1343,2016-03-02,49507.8,delivered
304,439,2020-02-25,79397.37999999999,returned
305,554,2003-07-03,43278.42999999999,purchased
306,360,2019-12-15,181180.4,reserved
307,31,2003-03-09,32124.31,delivered
308,1391,2022-06-12,89239.33,delivered
309,1397,2019-08-29,25945.32,reserved
310,920,2019-04-01,47037.58,returned
311,1434,2011-04-26,88563.3,rejected
312,1003,2023-05-20,16365.25,rejected
313,989,2013-07-09,68272.13,rejected
314,914,2021-09-21,24393.74,rejected
315,887,2015-07-04,83629.44,purchased
316,888,2003-11-15,95191.46,delivered
317,783,2014-10-25,209.98,rejected
318,75,2020-10-30,82729.42,purchased
319,172,2018-04-22,55688.53999999999,returned
320,1416,2014-06-24,68606.61,returned
321,1221,2014-05-16,12799.56,returned
322,637,2017-01-07,50642.44,reserved
323,1189,2024-11-20,40504.82000000001,purchased
324,426,2005-02-06,55948.53,delivered
325,1318,2022-10-21,51993.2,reserved
326,1031,2006-12-06,62181.33,delivered
327,1175,2024-06-29,115234.55,reserved
328,636,2022-02-17,77032.33,reserved
329,168,2015-09-19,47863.6,returned
330,1329,2018-09-10,17302.09,returned
331,223,2016-08-23,29100.78,purchased
332,511,2021-06-09,66367.87,reserved
333,610,2023-05-17,93464.06,delivered
334,734,2018-09-05,0.0,returned
335,1099,2010-04-30,13114.8,purchased
336,128,2022-03-12,47230.94,purchased
337,1140,2020-05-30,98415.84,reserved
338,239,2019-08-04,33632.43,rejected
339,1429,2012-10-04,59997.240000000005,rejected
340,127,2024-01-11,22814.88,delivered
