id_order,id_client,order_date,state
1,1021,2009-08-03,returned
2,269,2015-03-01,reserved
3,1393,2010-09-01,purchased
4,404,2006-08-02,rejected
5,392,2020-09-29,purchased
6,286,2023-01-24,reserved
7,1374,2022-06-01,delivered
8,566,2011-06-23,delivered
9,950,2018-06-15,purchased
10,432,2005-11-03,purchased
11,284,2017-02-05,reserved
12,617,2016-07-17,rejected
13,1240,2023-10-26,reserved
14,288,2020-05-22,purchased
15,86,2010-12-12,reserved
16,280,2002-04-23,purchased
17,283,2015-01-05,delivered
18,1197,2005-08-09,returned
19,1209,2022-03-24,reserved
20,1218,2009-02-25,purchased
21,251,2020-07-26,reserved
22,476,2006-03-31,delivered
23,520,2006-09-03,delivered
24,370,2005-10-29,delivered
25,1315,2024-03-30,returned
26,1443,2014-12-14,purchased
27,762,2001-02-05,reserved
28,738,2019-11-21,returned
29,1114,2011-09-19,returned
30,1141,2020-06-14,reserved
31,960,2024-09-29,reserved
32,125,2010-04-06,delivered
33,1454,2012-04-18,rejected
34,988,2020-07-02,purchased
35,270,2001-11-20,delivered
36,1408,2021-10-13,returned
37,250,2010-07-22,delivered
38,1485,2013-12-24,reserved
39,315,2024-11-28,rejected
40,1322,2004-10-01,delivered
41,1407,2000-06-06,delivered
42,1225,2014-10-05,delivered
43,990,2000-01-16,purchased
44,239,2005-08-12,reserved
45,1085,2000-10-03,returned
46,1381,2005-05-01,returned
47,385,2003-05-01,reserved
48,113,2007-10-31,purchased
49,1478,2002-09-16,delivered
50,1066,2006-06-26,purchased
51,342,2013-09-03,purchased
52,352,2003-06-22,reserved
53,1290,2024-03-28,delivered
54,1036,2007-11-30,purchased
55,477,2001-09-11,rejected
56,593,2003-09-03,purchased
57,1439,2002-08-08,returned
58,1172,2001-08-26,delivered
59,1174,2014-06-18,rejected
60,1233,2008-05-03,rejected
61,1498,2009-04-09,delivered
62,23,2020-06-29,rejected
63,728,2011-04-18,purchased
64,1088,2002-10-14,reserved
65,1255,2011-03-24,reserved
66,1312,2019-03-24,returned
67,661,2023-03-12,delivered
68,1328,2022-01-05,delivered
69,484,2017-09-15,rejected
70,8,2014-04-29,purchased
71,467,2018-07-21,rejected
72,955,2021-08-09,reserved
73,1444,2023-12-02,purchased
74,790,2013-03-26,purchased
75,429,2017-01-27,reserved
76,478,2012-03-10,delivered
77,501,2015-10-31,purchased
78,1315,2018-12-01,returned
79,1075,2001-01-09,delivered
80,622,2018-07-05,delivered
81,65,2024-01-20,returned
82,734,2002-08-28,rejected
83,424,2023-04-04,reserved
84,744,2002-12-21,returned
85,1369,2004-05-13,reserved
86,582,2013-02-01,rejected
87,327,2012-09-26,returned
88,1304,2020-04-10,purchased
89,262,2004-02-09,returned
90,244,2016-11-13,purchased
91,670,2022-02-04,delivered
92,1044,2006-07-01,returned
93,1462,2015-06-03,reserved
94,827,2010-09-27,returned
95,44,2022-08-27,returned
96,438,2003-07-14,rejected
97,894,2019-05-13,reserved
98,863,2009-01-05,rejected
99,263,2009-03-19,purchased
100,1093,2006-11-28,delivered
101,1295,2020-07-17,delivered
102,791,2012-07-13,delivered
103,1051,2002-03-29,reserved
104,542,2006-11-08,returned
105,955,2015-03-12,purchased
106,853,2001-08-04,reserved
107,503,2013-12-02,reserved
108,568,2013-08-10,reserved
109,134,2000-10-27,rejected
110,970,2013-06-30,rejected
111,500,2019-06-27,purchased
112,522,2021-04-18,rejected
113,235,2003-05-28,purchased
114,864,2012-07-06,delivered
115,305,2012-08-28,delivered
116,1422,2018-11-04,delivered
117,15,2021-02-06,purchased
118,988,2019-07-19,reserved
119,453,2003-03-02,delivered
120,1259,2010-06-21,returned
121,1150,2009-10-06,rejected
122,397,2001-01-08,returned
123,555,2014-07-04,returned
124,156,2016-12-29,reserved
125,1155,2003-10-12,returned
126,840,2012-02-05,returned
127,854,2006-04-27,rejected
128,865,2013-04-29,delivered
129,753,2000-09-06,returned
130,927,2005-08-01,delivered
131,515,2003-09-18,delivered
132,53,2016-04-25,delivered
133,1492,2004-07-29,purchased
134,523,2024-06-27,delivered
135,450,2006-11-22,purchased
136,409,2022-05-27,reserved
137,75,2021-09-30,purchased
138,1316,2024-07-20,purchased
139,488,2015-10-05,purchased
140,1114,2011-06-08,delivered
141,159,2002-09-11,returned
142,1462,2015-07-01,rejected
143,307,2013-11-24,purchased
144,803,2008-04-17,returned
145,474,2019-03-02,purchased
146,23,2010-04-29,reserved
147,446,2004-03-07,returned
148,105,2007-02-24,purchased
149,1445,2010-09-02,returned
150,1124,2018-08-01,reserved
151,1414,2010-05-10,purchased
152,973,2002-11-18,delivered
153,1307,2022-09-10,returned
154,1296,2002-07-17,reserved
155,458,2001-01-09,returned
156,717,2011-01-12,rejected
157,988,2012-02-14,rejected
158,539,2010-04-06,delivered
159,899,2011-03-05,rejected
160,497,2015-10-04,returned
161,1257,2006-04-07,rejected
162,862,2016-10-13,purchased
163,562,2013-05-06,delivered
164,863,2009-06-16,returned
165,1135,2007-01-13,reserved
166,1164,2006-08-23,delivered
167,303,2013-07-22,delivered
168,27,2021-04-12,purchased
169,862,2020-08-20,returned
170,36,2024-08-30,returned
171,637,2017-10-17,purchased
172,460,2018-08-17,purchased
173,198,2019-08-21,purchased
174,945,2018-01-16,returned
175,683,2024-10-07,purchased
176,780,2018-07-16,delivered
177,661,2018-06-13,delivered
178,1488,2018-08-19,rejected
179,66,2010-05-15,purchased
180,1450,2002-02-08,purchased
181,915,2000-10-28,reserved
182,113,2002-05-08,rejected
183,1222,2006-06-28,purchased
184,438,2005-02-02,purchased
185,447,2022-02-25,rejected
186,1313,2003-02-27,reserved
187,53,2016-05-08,rejected
188,125,2017-11-27,returned
