id_order,id_client,order_date,state
1,520,2000-12-29,purchased
2,245,2011-10-06,returned
3,63,2003-06-30,returned
4,475,2013-02-24,rejected
5,1173,2007-04-13,reserved
6,1008,2022-05-03,reserved
7,944,2012-05-10,delivered
8,417,2014-01-16,reserved
9,750,2015-09-06,purchased
10,1143,2011-02-03,returned
11,907,2014-08-30,delivered
12,1050,2019-07-23,delivered
13,77,2024-11-27,delivered
14,445,2005-06-17,reserved
15,1365,2008-07-24,purchased
16,887,2020-10-14,returned
17,1170,2020-12-18,rejected
18,13,2016-09-27,reserved
19,839,2016-10-16,purchased
20,1477,2021-02-07,reserved
21,353,2020-03-04,returned
22,1412,2013-03-21,delivered
23,1164,2006-10-07,returned
24,1222,2008-06-06,rejected
25,598,2016-11-08,rejected
26,1367,2024-05-03,purchased
27,1130,2019-02-01,reserved
28,532,2010-03-25,reserved
29,830,2023-05-28,reserved
30,1025,2013-06-04,reserved
31,1232,2023-09-30,purchased
32,1050,2022-01-30,purchased
33,130,2016-10-30,delivered
34,812,2010-07-28,reserved
35,353,2001-08-15,purchased
36,900,2014-12-08,reserved
37,453,2006-01-16,reserved
38,927,2002-09-17,reserved
39,1438,2019-01-11,purchased
40,1272,2000-07-31,rejected
41,716,2018-07-22,returned
42,844,2008-04-15,delivered
43,1147,2015-12-08,reserved
44,801,2012-04-30,purchased
45,1290,2020-04-07,purchased
46,241,2016-12-13,purchased
47,946,2008-09-19,delivered
48,907,2013-03-22,rejected
49,423,2015-08-12,rejected
50,1438,2015-05-25,purchased
51,975,2018-11-30,rejected
52,231,2016-06-21,returned
53,462,2001-07-12,reserved
54,1412,2009-03-20,reserved
55,1347,2020-09-17,rejected
56,1498,2018-10-02,returned
57,225,2003-01-26,rejected
58,773,2001-11-21,returned
59,1251,2004-07-09,returned
60,1037,2012-03-24,purchased
61,1080,2022-03-23,purchased
62,1486,2014-01-07,rejected
63,895,2001-03-15,rejected
64,217,2019-12-31,returned
65,466,2002-01-18,purchased
66,146,2006-04-11,returned
67,1401,2021-12-27,returned
68,201,2015-06-17,rejected
69,6,2016-07-16,purchased
70,242,2014-07-21,purchased
71,573,2009-09-17,reserved
72,673,2008-05-05,delivered
73,280,2020-11-24,delivered
74,663,2009-10-21,purchased
75,1177,2011-11-05,rejected
76,141,2003-01-29,purchased
77,812,2020-11-12,reserved
78,1224,2019-01-24,purchased
79,219,2009-08-22,rejected
80,1131,2003-02-04,returned
81,329,2005-02-02,rejected
82,134,2012-06-13,purchased
83,120,2013-02-25,purchased
84,907,2008-04-20,purchased
85,1431,2008-02-28,rejected
86,874,2016-01-14,rejected
87,365,2022-07-25,purchased
88,265,2005-08-19,purchased
89,654,2011-02-08,rejected
90,161,2011-11-27,reserved
91,1048,2004-12-30,delivered
92,573,2006-03-25,delivered
93,254,2020-10-09,purchased
94,727,2000-02-04,reserved
95,297,2010-07-30,rejected
96,27,2011-05-01,reserved
97,237,2016-03-21,reserved
98,293,2004-08-17,purchased
99,239,2021-12-07,rejected
100,200,2007-08-30,rejected
101,561,2019-12-07,rejected
102,1424,2021-04-13,delivered
103,1269,2021-09-18,delivered
104,348,2018-07-03,reserved
105,50,2017-03-28,reserved
106,319,2024-10-31,returned
107,639,2021-11-15,delivered
108,1210,2023-12-28,returned
109,1239,2021-01-20,delivered
